"SkuName","SkuPartNumber","SkuID","ChildServicePlan","ChildServicePlanName"
"Microsoft Entra Id P1 For Faculty","AAD_PREMIUM_FACULTY","30fc3c36-5a95-4956-ba57-c09c2a600bb9","EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318),AAD_PREMIUM (41781fb2-bc02-4b7c-bd55-b576c07bb09d),MFA_PREMIUM (8a256a2b-b617-496d-b51b-e76466e88db0),ADALLOM_S_DISCOVERY (932ad362-64a8-4783-9106-97849a1a30b9)","Exchange Foundation (113Feb6c-3Fe4-4440-Bddc-54D774bf0318),Microsoft Entra Id P1 (41781Fb2-Bc02-4B7c-Bd55-B576c07bb09d),Microsoft Azure Multi-Factor Authentication (8A256a2b-B617-496D-B51b-E76466e88db0),Microsoft Defender For Cloud Apps Discovery (932Ad362-64A8-4783-9106-97849A1a30b9)"
"Microsoft Entra Id P1_Usgov_Gcchigh","AAD_PREMIUM_USGOV_GCCHIGH","de597797-22fb-4d65-a9fe-b7dbe8893914","EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318),MFA_PREMIUM (8a256a2b-b617-496d-b51b-e76466e88db0),ADALLOM_S_DISCOVERY (932ad362-64a8-4783-9106-97849a1a30b9),AAD_PREMIUM (41781fb2-bc02-4b7c-bd55-b576c07bb09d)","Exchange Foundation (113Feb6c-3Fe4-4440-Bddc-54D774bf0318),Microsoft Azure Multi-Factor Authentication (8A256a2b-B617-496D-B51b-E76466e88db0),Microsoft Defender For Cloud Apps Discovery (932Ad362-64A8-4783-9106-97849A1a30b9),Microsoft Entra Id P1 (41781Fb2-Bc02-4B7c-Bd55-B576c07bb09d)"
"Microsoft Entra Id P2","AAD_PREMIUM_P2","84a661c4-e949-4bd2-a560-ed7766fcaf2b","AAD_PREMIUM (41781fb2-bc02-4b7c-bd55-b576c07bb09d),AAD_PREMIUM_P2 (eec0eb4f-6444-4f95-aba0-50c24d67f998),ADALLOM_S_DISCOVERY (932ad362-64a8-4783-9106-97849a1a30b9),EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318),MFA_PREMIUM (8a256a2b-b617-496d-b51b-e76466e88db0)","Microsoft Entra Id P1 (41781Fb2-Bc02-4B7c-Bd55-B576c07bb09d),Microsoft Entra Id P2 (Eec0eb4f-6444-4F95-Aba0-50C24d67f998),Cloud App Security Discovery (932Ad362-64A8-4783-9106-97849A1a30b9),Exchange Foundation (113Feb6c-3Fe4-4440-Bddc-54D774bf0318),Microsoft Azure Multi-Factor Authentication (8A256a2b-B617-496D-B51b-E76466e88db0)"
"Azure Information Protection Plan 1","RIGHTSMANAGEMENT","c52ea49f-fe5d-4e95-93ba-1de91d380f89","RMS_S_ENTERPRISE (bea4c11e-220a-4e6d-8eb8-8ea15d019f90),RMS_S_PREMIUM (6c57d4b6-3b23-47a5-9bc9-69f17b4947b3)","Azure Information Protection Premium P1 (6C57d4b6-3B23-47A5-9Bc9-69F17b4947b3),Microsoft Entra Rights (Bea4c11e-220A-4E6d-8Eb8-8Ea15d019f90)"
"Azure Information Protection Plan 1","RIGHTSMANAGEMENT_CE","a0e6a48f-b056-4037-af70-b9ac53504551","EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318),RMS_S_PREMIUM (6c57d4b6-3b23-47a5-9bc9-69f17b4947b3),RMS_S_ENTERPRISE (bea4c11e-220a-4e6d-8eb8-8ea15d019f90)","Exchange Foundation (113Feb6c-3Fe4-4440-Bddc-54D774bf0318),Azure Information Protection Premium P1 (6C57d4b6-3B23-47A5-9Bc9-69F17b4947b3),Azure Rights Management (Bea4c11e-220A-4E6d-8Eb8-8Ea15d019f90)"
"Azure Information Protection Premium P1 For Government","RIGHTSMANAGEMENT_CE_GOV","78362de1-6942-4bb8-83a1-a32aa67e6e2c","EXCHANGE_S_FOUNDATION_GOV (922ba911-5694-4e99-a794-73aed9bfeec8),RMS_S_PREMIUM_GOV (1b66aedf-8ca1-4f73-af76-ec76c6180f98),RMS_S_ENTERPRISE_GOV (6a76346d-5d6e-4051-9fe3-ed3f312b5597)","Exchange Foundation For Government (922Ba911-5694-4E99-A794-73Aed9bfeec8),Azure Information Protection Premium P1 For Gcc (1B66aedf-8Ca1-4F73-Af76-Ec76c6180f98),Azure Rights Management (6A76346d-5D6e-4051-9Fe3-Ed3f312b5597)"
"Azure Information Protection Premium P1_Usgov_Gcchigh","RIGHTSMANAGEMENT_CE_USGOV_GCCHIGH","c57afa2a-d468-46c4-9a90-f86cb1b3c54a","EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318),RMS_S_PREMIUM (6c57d4b6-3b23-47a5-9bc9-69f17b4947b3),RMS_S_ENTERPRISE (bea4c11e-220a-4e6d-8eb8-8ea15d019f90)","Exchange Foundation (113Feb6c-3Fe4-4440-Bddc-54D774bf0318),Azure Information Protection Premium P1 (6C57d4b6-3B23-47A5-9Bc9-69F17b4947b3),Azure Rights Management (Bea4c11e-220A-4E6d-8Eb8-8Ea15d019f90)"
"Basic Collaboration","OFFICEBASIC","4468c39a-28b2-42fb-9094-840bcf28771f","EXCHANGE_S_STANDARD (9aaf7827-d63c-4b61-89c3-182f06f82e5c),ONEDRIVELITE_IW (b4ac11a0-32ff-4e78-982d-e039fa803dec),MCOBASIC (448898aa-3ae7-478c-b49a-1fac7a8a35cf),YAMMER_BASIC (6db7aeea-6c4a-475d-bbb0-7338bc73d646)","Exchange Online (Plan 1)(9Aaf7827-D63c-4B61-89C3-182F06f82e5c),Office For The Web With Onedrive For Business (B4ac11a0-32Ff-4E78-982D-E039fa803dec),Skype Meetings (448898Aa-3Ae7-478C-B49a-1Fac7a8a35cf),Yammer (6Db7aeea-6C4a-475D-Bbb0-7338Bc73d646)"
"Business Apps (Free)","SMB_APPS","90d8b3f8-712e-4f7b-aa1e-62e7ae6cbe96","DYN365BC_MS_INVOICING (39b5c996-467e-4e60-bd62-46066f572726),MICROSOFTBOOKINGS (199a5c09-e0ca-4e37-8f7c-b05d533e1ea2)","Microsoft Invoicing (39B5c996-467E-4E60-Bd62-46066F572726),Microsoft Bookings (199A5c09-E0ca-4E37-8F7c-B05d533e1ea2)"
"Career Coach For Faculty","CAREERCOACH_FACULTY","95de1760-7682-406d-98c9-52ef14e51e2b","CAREERCOACH_EDU (80f0ae31-0dfb-425c-b3fc-36f40170eb35)","Career Coach (80F0ae31-0Dfb-425C-B3fc-36F40170eb35)"
